Movies,Ratings,Actor 1,Actor 2,Actor 3,Genres,Synopsis
Hantu Kak Limah Balik Rumah,7.6,Awie,Ummi Nazeera,Ryle Paolo Santiago,"Comedy, Horror",A woman and her daughter struggle to cross Europe in a desperate attempt to survive the undead apocalypse.
Clown,3.4,Peter Greene,Norman Reedus,Daniel Emery Taylor,"Short, Horror, Thriller",Three nerdy boys meet one pretty ghost girl. Which cause a funny-scary-adventure happenings in their lives.
The Hospital,5.3,Daniel Emery Taylor,Jim O'Rear,Eugene Robert Glazer,Horror,It's Halloween at WKIZ when the malicious Mistress of Midnight arrives to host her annual horror movie marathon 'Dead by Midnight'. When the WKIZ staff begins disappearing only to turn up ...
The Clonus Horror,6.9,Peter Graves,Rick DiAngelo,Carole Gray,"Horror, Romance, Sci-Fi",»
Curse of the Fly,6.7,Brian Donlevy,George Baker,Billy House,"Drama, Horror, Mystery",A boy Clown is forced to make his appearance by some fellow Clowns.
Bedlam,5.7,Boris Karloff,Anna Lee,Orson Welles,"Drama, Horror, Thriller","Old St. Leopold's Hospital has many urban legends surrounding it, but the residents of Bridgeport all agree on one thing: tortured souls roam its abandoned halls. The mystery proves too ..."
Three Cases of Murder,5.6,George More O'Ferrall,Wendy Toye,Jacky Cheung,"Crime, Drama, Fantasy",»
Wicked City,4.5,Leon Lai,Michelle Reis,Ornella Muti,"Action, Horror, Sci-Fi","Politicians scheme to clone themselves, assuring immortal life."
Leonor,5.2,Michel Piccoli,Liv Ullmann,Scatman Crothers,"Fantasy, Drama, Horror","Motorist Martin Delambre attempts to keep evidence of his family's bizarre experiments in teleportation hidden from his wife, who is hiding secrets of her own."
Deadly Eyes,6.2,Sam Groom,Sara Botsford,Elarica Johnson,"Horror, Sci-Fi, Thriller","Nell Bowen, the spirited protege of rich Lord Mortimer, becomes interested in the conditions of notorious St. Mary's of Bethlehem Asylum (Bedlam). Encouraged by the Quaker Hannay, she tries..."
The Forgotten,2.7,Clem Tibber,Shaun Dingwall,Ryûhei Matsuda,Horror,»
Izo,1.7,Kazuya Nakayama,Kaori Momoi,Dimo Alexiev,"Action, Drama, Fantasy","Three stories of murder and the supernatural. In the first, a museum worker is introduced to a world behind the pictures he sees every day. Second, when two lifelong friends fall in love ..."
Asylum,5,Stephen Rea,Bruce Payne,Robert Amstler,"Comedy, Horror",»
Little Red Riding Hood,5.8,Iren Levy,Nicole Stark,Melissa Alouf,"Fantasy, Horror","Taki is assigned to go after Daishu, a businessman who is suspected by the police to be selling the drug ""happiness"", a drug from the Rapter's world that causes people to ""evaporate"" if ..."
Dead Story,4.3,Kelsey Deanne,Chase Austin,Donald Houston,Horror,»
Maniac,4.1,Kerwin Mathews,Nadia Gray,Julia Eringer,"Crime, Horror, Mystery",A female vampire rises from her crypt every night in search of children as her victims.
Fox Trap,5.6,Becca Hirani,Kate Lister,Nicola Fiore,Horror,"Contaminated grain breeds overgrown, killer rats in this Golden Harvest production. Dachshunds were dressed up as rats for the special effects."
Sociopathia,3.8,Rich Mallery,Asta Paredes,Camila Bordonaba,Horror,"Tommy is sent to live with his father who takes him to live in an abandoned council estate. Tommy begins to hear strange noises from other flats. Essentially abandoned by his father, he and his new friend Carmen must try to solve the mystery using only their makeshift lanterns."
Penumbra,3.2,Ramiro García Bogliano,Cristina Brondo,Alix Wilton Regan,"Horror, Thriller","An executed samurai takes an existential journey throughout time, space and eternity in search of bloody vengeance."
Zombie Diaries 2,4.8,Kevin Gates,Philip Brodie,Dan Erickson,"Action, Horror, Sci-Fi","A veteran hostage negotiator's next call leads him to an overrun insane asylum. He soon finds that dark forces are pushing the patients to commit atrocities, and he may be the only one that can stop them."
Blood Sisters,4.4,Amy Brentano,Shannon McMahon,Deborah Twiss,"Horror, Thriller",A Brother Grimm's Horror Version of the Classic Fairytale.
The Midnight Game,4,Guy Wilson,Valentina de Angelis,Simone Kirby,"Horror, Thriller","A young couple move into their dream house, only to find out they are not alone."
Bashira,5.6,Kiki Sukezane,Liam Aiken,Carlos Lauchu,Horror,An American painter has an affair with a bar owner in a French village and agrees to help her murderer husband escape from a prison for the criminally insane.
The Hole in the Ground,6.1,Seána Kerslake,James Quinn Markey,Danielle Keaton,Horror,"After a terrible accident leaves a young girl disabled, five years later, the group responsible are invited to a remote manor house in the countryside for a class reunion. Little do they know, they are being targeted by a masked maniac hell bent on revenge."
Sutures,4.3,Andrew Prine,Jason London,Dani Thompson,"Horror, Thriller","Introverted and peculiar, Mara spends her days fabricating props for movies. But her reclusive persona conceals an internal wrath. Terrified of being alone, Mara refuses to let her lovers ..."
Puppet Master vs Demonic Toys,6.1,Corey Feldman,Vanessa Angel,Kumiko Asô,"Comedy, Fantasy, Horror",»
My Bloody Banjo,7.2,James Hamer-Morton,Damian Morter,Dorothy Grumbar,"Comedy, Fantasy, Horror",A woman hesitantly rents an apartment to an eerie man who she soon realizes has a part in the solar eclipse that is taking place.
Ringu 0,5.3,Yukie Nakama,Seiichi Tanabe,Gary Mavers,"Horror, Thriller","Three months have passed since a viral outbreak wiped out 99.9% of the world's population, turning its victims into flesh-eating living dead. In the UK, a surviving band of soldiers and ..."
Bizarre,8.1,Richard Schulman,Janet Spearman,Madeline Weinstein,"Fantasy, Horror",»
Chimera,4,Christine Kavanagh,Kenneth Cranham,Diana Dors,Horror,"Seven girls must spend the night in an old house, which once was a brothel, as part of an initiation."
Hair Wolf,4.8,Kara Young,Taliah Webster,Richard Ridings,"Short, Comedy, Horror","After playing a pagan ritual on a dare, a group of high school students find themselves trapped in an endless cycle of their worst fears."
Nothing But the Night,5.5,Christopher Lee,Peter Cushing,Andrew W. Walker,"Crime, Horror, Mystery",An electronic musician and a troubled fan are plunged into a hallucinogenic nightmare where they must confront an ancient Japanese entity - capable of bending space and time and wreaking havoc and death - in order to save their souls.
Stir of Echoes: The Homecoming,6.2,Rob Lowe,Marnie McPhail,Paul Logan,"Horror, Thriller","A group of longtime friends converge on a fatal course with destiny when they cross paths with Alexander Tatum, a mercenary surgeon. He is a hunter with the keen skill of one who has also ..."
The Green Elephant,4.3,Sergey Pakhomov,Vladimir Epifantsev,Valerie C. Walker,"Horror, Thriller",»
The Terminators,6.9,Jeremy London,A Martinez,Asami Ogawa,"Action, Horror, Sci-Fi","A group of toymakers seek to use Andre Toulon's formula, now in the hands of Toulon's great-nephew Robert, to give life to a line of killer toys that they plan to unleash on Christmas Eve."
The Mine,5.8,Reiley McClendon,Adam Hendershott,Amelia Heinle,"Adventure, Horror, Mystery",A young man becomes manipulated by his imaginary friend to exact revenge on his tormenting co-workers.
The Erotic Rites of Frankenstein,5.3,Alberto Dalbés,Dennis Price,Howard Vernon,"Horror, Sci-Fi",Dr. Frankenstein and his assistant Morpho are killed just as they bring their creation to life. The monster is taken by Cagliostro and he now controls the monster and plans to have it mate and create the perfect master race.
Hansel & Gretel,2.8,Brent Lydic,Jonathan Nation,Stephanie Greco,Horror,"In this modern retelling of the classic horror tale, teen siblings are enslaved by a psychotic recluse within her gruesome house of horrors in the woods."
The Mighty Peking Man,5.3,Evelyne Kraft,Danny Lee,Feng Ku,"Action, Adventure, Horror","King Kong goes Hong Kong as a giant Himalayan beast tries to save a sexy Russia Tarzanette from a sleazy show-biz promoter. The action, locations set in India, and interracial romance made ..."
Necronomicón,4.5,Diego Velázquez,María Laura Cali,Daniel Fanego,"Horror, Thriller",»
Abby,5.6,Carol Speed,William Marshall,Terry Carter,Horror,"A copy of the Necronomicon rests, hidden, in the National Library of the Argentine Republic in Buenos Aires. The mysterious death of Dieter, the ageless protector of the book, leads Luis, a..."
Final Agape,8.7,Anahí Marin,Andrés Barthel Agostino,Helena Mankowska,"Short, Drama, Horror",»
Muerte: Tales of Horror,7.4,Mario Aguilar,Tara Allen,Michelle Banks,"Fantasy, Horror, Sci-Fi","A possession film about a marriage counselor who becomes possessed by a Demon of Sexuality, when her father in law, an Exorcist, freed it while in Africa. He returns home, along with his ..."
The Little Vampire,6.5,Gert Fröbe,Marsha Moreau,Lynn Seymour,"Family, Horror",»
He Took His Skin Off for Me,4.4,Sebastian Armesto,Anna Maguire,Sarah Barker,"Short, Drama, Horror","Irma Vep is an ancient vampire who has come to sunny Barcelona to play her dark DJ set in one underground club. Her companion, Sabet, is a young occult philosopher, whom she turned into ..."
Gingerdead Man 2: Passion of the Crust,7.4,Michelle Bauer,Pieter Christian Colson,Michael Deak,"Comedy, Fantasy, Horror",»
Blue Gender,5.2,Laura Bailey,Houko Kuwashima,Kenji Nojima,"Animation, Adventure, Drama","An anthology that tells four horror stories centered around a stolen ""cursed"" comic book."
Midnight Ride,4.8,Michael Dudikoff,Mark Hamill,Savina Gersak,"Action, Horror, Thriller","13 part television series based on the books: ""The Little Vampire"" and ""The Little Vampire Moves In"" by Angela Sommer-Bodenburg."
Don't Fuck in the Woods 2,4.8,Mindy Robinson,Brandy Mason,Kaylee Williams,Horror,"A simple, domestic love story about a man who takes his skin off for his girlfriend, and why it probably wasn't the best idea..."
The Marsh,4.1,Gabrielle Anwar,Louis Ferreira,Forest Whitaker,"Horror, Thriller",The horrifying yet delicious and chewy Gingerdead Man causes murder and mayhem on the set of a horrible low budget movie set. It will take the determination of the studio's young new owner ...
Hotel Inferno,8,Rayner Bourton,Michael Howe,Jessica Carroll,"Action, Horror",»
The Day Time Ended,6.9,Jim Davis,Christopher Mitchum,Dorothy Malone,"Adventure, Horror, Sci-Fi","The year is 2031, and after being in cold-sleep for twenty-two years, Yuji Kaido wakes up in the middle of a war for human survival against giant insects called the Blue, who have overrun ..."
Unedited Footage of a Bear,5.1,Alan Resnick,Kerry Donelli,Jacqueline Donelli,"Short, Horror, Thriller",»
Magical Girl Site,5.1,Yûya Asato,Yumi Hara,Kaede Hondo,"Animation, Action, Drama","A house wife just left her cop husband, when she picks up Justin Mckay she'll wish she never did as she's plunged into a nightmare and the grip of a psychotic killer."
Hum Se Na Takrana,5.6,Master Bhagwan,Mithun Chakraborty,Leena Das,"Action, Crime, Drama",A young beautiful but stressed out children's writer seeks out a holiday in the country but becomes the lead character in a supernatural mystery she must solve to save her life
The Vampire Diaries Series,7.1,Stephen Tsimpides,Byron Cherry,Anita Clay,"Fantasy, Horror",The contract killer Frank Zimosa has just been hired for a ridiculously lucrative mission by the rich and powerful Jorge Mistrandia. The objective: to kill a couple of people hiding in one ...
3rd Eye,5.9,Danny Arroyo,Don Bridges,Cris Cochrane,"Action, Horror, Sci-Fi",»
Plague,3.7,Kosta Ouzas,Trevor Devall,Kelly Sheridan,"Drama, Horror","Aliens visit the solar-powered house of a middle-class family, and the house is suddenly sucked into a time warp that transports it back to prehistoric times."
Kurozuka,5.2,Janyse Jaud,Raveena Tandon,Manoj Bajpayee,"Animation, Action, Horror",An unedited shot of a bear (albeit with commercial interruption).
Aks,5.8,Amitabh Bachchan,Pascale Hutton,Cindy Busby,"Action, Crime, Horror","Aya Asagiri is a middle school girl who has problems both at school with bullying and at home from physical abuse by her brother. While browsing online, a website pops up on her computer ..."
Behemoth,4.2,Ed Quinn,William Mapother,Johanna Braddy,"Action, Horror, Sci-Fi",»
Hurt,4.3,Melora Walters,Gabrielle Anwar,Josh Charles,"Drama, Horror, Thriller","A high-school girl is kidnapped by gang lords and held captive for several months. Over this time, she repeatedly beaten, raped, and tortured."
The Grave,4.6,Craig Sheffer,Susan Damante,Sam Gilman,"Comedy, Horror","Haruka Yamano returns from America to Tokyo in a wheelchair, both legs having multiple fractures from a car accident. She is helped by her brother Koichi and their father. Their father ..."
Blood Sabbath,5.7,Anthony Geary,Jack E. Curenton,Bianca Haase,Horror,»
Terrordactyl,4.1,Geoff Reisner,Julee Cerda,Sara Harman,"Action, Comedy, Horror","Young, orphaned and homeless Amar rescues young Vijay, and gets adopted by his single mother, Ganga. Both children grow up in Sharifpur, a town that is oppressed by Thakur and his goons, ..."
You're Not Alone,4.8,Katia Winter,Graham Sibley,Tonya Cornelisse,"Horror, Mystery, Thriller",»
Zombie Honeymoon,5.2,Tracy Coogan,Michael Cornelison,Dee Croxton,"Drama, Horror, Romance",Vampire will eat pizza and burgers... Once they don't have enough pizza they will go to shop and eat it... The end
Nightshift Collection,5.2,Jeff Schiro,Ivor Francis,Judith Novgrod,"Drama, Horror",William Kane searching for his wife's killer. Must work with NSA and FBI as a medium and remote viewer to track down and stop threats to the U.S. and its allies. He is also forced to work ...
Alien Zone,3.5,John Ericson,Bo Svenson,Victoria Zinny,Horror,»
Beyond the Door III,4.5,Mary Kohnert,Viveca Lindfors,Solly Marx,Horror,A small group of survivors in post-apocalyptic Australia seek shelter from an infection that has spread like a plague among the human populace. Evie (Tegan Crowley) and her fellow survivors...
Silent Madness,2.4,Belinda Montgomery,Arielle Cezanne,Harrison Matthews,"Horror, Thriller",»
Insectula!,7,Pasquale Pilla,Alonzo F. Jones,Shamika Ann Franklin,"Comedy, Horror, Sci-Fi","Kuro, a 12th-century man, flees into the mountains after losing to his brother, where he meets a strange, beautiful woman named Kuromitsu. Kuro falls in love with Kuromitsu but realizes she..."
Edges of Darkness,5.7,J. Horton,Linden Ashby,Debra Feuer,Horror,»
Night Angel,3.2,Isa Jank,Amelia Haberman,James Ray,Horror,"Raghavan Ghatge, a psychotic terrorist, and Manu Verma, the cop who tracks him down, shoot each other simultaneously, the result being that Raghavan's soul is transferred into Verma's body..."
Krampus: The Reckoning,2,Monica Engesser,Richard Morant,Brenda Bruce,Horror,"Scientists discover a giant creature under the Earth that is wrapped around the entire planet. When the creature wakes all grumpy, it causes worldwide destruction."
The Mad Death,2.6,Barbara Kellerman,Cody Epling,Jason Reynolds,Horror,"A recently widowed family is forced to move into their uncle's salvage yard, and soon after the arrival of a mysterious foster child, a family secret starts to threaten their lives."
The Blair Witch Legacy Fan Film,6.1,Samantha Marie Cook,Bruce Kimmel,Leslie Nielsen,Horror,Two prisoners escape with the help of their jailer to search for a treasure that is supposedly buried with a dead millionaire.
The Creature Wasn't Nice,5.6,Cindy Williams,Annisa Bahar,Tata Dado,"Comedy, Horror, Musical",A coven of witches captures a young man traveling through the woods. He gets involved in a power struggle between a beautiful witch and the evil queen who heads the coven.
Membunuh: Murder,3.8,Ucok Baba,Daryl Hannah,Peter O'Toole,"Comedy, Horror","When ancient flying reptiles attack Los Angeles, it's up to two working-class friends, the unlikeliest of heroes, to save the day."
Derren Brown: Apocalypse,8,Steven Brosnan,Gilbert Martin,Jordan Loughran,"Documentary, Horror, Mystery",A member of the public is given a second chance at life when mentalist Derren Brown makes him realize how important life is by tricking him into believing that a meteor has hit the earth and is now populated by zombies.
The Bloody Slaying of Sarah Ridelander,3.4,Tom Drake,Steve Oliver,Joe Turkel,"Thriller, Horror","A serial killer murders a businessman's wife, then blackmails the man into procuring young girls for him to murder. The businessman hires a gang of renegade motor-cyclists to kidnap girls for him."
Fuck Buddies,6.5,Sharon Belle,Alexander Plouffe,Graham Jezioranski,"Short, Comedy, Drama",Platonic room-mates Joseph and Ellie try to 'keep it casual' when they find themselves manipulated by an otherworldly force to begin having sex with each other.
Horror Castle,5.9,Rossana Podestà,Georges Rivière,Christopher Lee,Horror,"Women are being tortured to death with various torture devices in the dungeon of an old castle by a deformed, hooded, holocaust survivor."
Psychos,3,Angelica Chitwood,Deniele Ramos Cloutier,Melissa Elena Jones,"Crime, Drama, Horror",Three young women seek revenge against a sadistic predator.
Cry of Fear,7.4,Chace Crawford,Brandon Hemmings,Holland Roden,Horror,"You wake up in a dark alley, not knowing anything. What has happened anyway? You struggle after the truth and answers. Answers you want to know in the darkness and fear, which makes your ..."
Más negro que la noche,7,Claudia Islas,Susana Dosamantes,Lucía Méndez,"Horror, Mystery, Thriller",»
I've Been Waiting for You,5.4,Sarah Chalke,Soleil Moon Frye,Ben Foster,"Horror, Thriller","When four women move into an old house left by one woman's aunt, strange things begin to happen. Bizarre voices, visions of ghosts, and mysterious noises lead them to discover the darkest ..."
El sádico de Notre-Dame,6,Sexorcismes,Lina Romay,Olivier Mathot,Horror,»
Demon Hole,4.9,Jesús Franco,Samhain,Paris Campbell,"Comedy, Horror","A girl moves to a small town with her mom, only to be compared to a legendary witch with the same name."
Silent Retreat,3.9,Samantha Scaffidi,Rebecca Summers,Danilo Di Julio,"Horror, Mystery, Thriller",An ex-priest escapes from an asylum and kills people in God's name. This is a re-edited Spanish-language version of
The Cleansing Hour,3.2,Donny Boaz,Lysette Anthony,Brian Wimmer,Horror,(1975) and XXX version
Beneath Loch Ness,9,Patrick Bergin,Jean Bernard,Jacob Reardon,"Action, Horror, Thriller",(1975) with newly shot scenes.
Fear the Walking Dead Survival,6,Kate McIninch,Jodhi May,Colin Firth,"Short, Drama, Horror","A fracking crew drills on sacred Native American land unleashing an ancient demon. There are only two ways out of the woods, succumb to the demon or die."
The Turn of the Screw,2.8,Caroline Pegg,Susan Cabot,Bradford Jackson,"Drama, Horror, Thriller","Six members of a media company go on a weekend business retreat at an isolated lodge in the woods. When one of the members goes missing, they discover that the lodge was formerly a private ..."
The Saga of the Viking Women and Their Voyage to the Waters of the Great Sea Serpent,5.9,Abby Dalton,Leah Kellar,Jodi Krangle,"Action, Adventure, Fantasy",»
Halloween: The Night HE Came Back,6.6,Bruce Dale,Govind Padmasoorya,Aju Varghese,Horror,"Millennial entrepreneurs, Drew and Max, run a webcast that streams live exorcisms that are, in fact, elaborately staged hoaxes. But they get their comeuppance when today's actress becomes ..."
Pretham,5.8,Jayasurya,Tim Faraday,Ray Whelan,"Comedy, Horror, Mystery",»
Are We Dead Yet,4.7,Jessica-Jane Stafford,Jim Backus,Christine White,Horror,"The legendary Loch Ness Monster, terrorizes a lake in Scotland and Patrick Bergin comes out to kill it."
End of Term,5.2,David Bamber,Jeong-tae Kim,Hye-Rin Han,Horror,A governess put in charge of two young children begins to see the ghost of her dead predecessor.
Sonyeogoedam,4,So-eun Kim,Huntz Hall,Bernard Gorcey,"Comedy, Horror, Romance","A group of lonely Viking women build a ship and set off across the sea to locate their missing menfolk, only to fall into the clutches of the barbarians that also hold their men captive. ..."
The Bowery Boys Meet the Monsters,5.5,Leo Gorcey,Nick Mancuso,Tony Nappo,"Horror, Comedy, Sci-Fi",»
Revelation,3.2,Jeff Fahey,Cindy Sampson,Nicolas Wright,"Action, Drama, Horror","A shy and introverted aspiring actress moves to Haddonfield Illinois to reconnect with her brother Bob. Unaware of the town's secrets and her connection to them, a familiar presence engulfs the innocence rebuilt on Halloween night."
Swamp Devil,3.8,Bruce Dern,Devin McGinn,Matt Bauer,"Action, Horror, Sci-Fi",Three friends run a beachfront hotel leaving their jobs. Now their hotel is haunted by paranormal phenomenons. A cold reading psychic John Don Bosco enters their life and Clara's phantom realm to solve the troubling mystery.
The Last Lovecraft: Relic of Cthulhu,5.7,Kyle Davis,Paul Fox,Robert Catrini,"Adventure, Comedy, Horror",A robbery goes horrifyingly wrong when five have a go criminals are forced to take refuge from the police in an old castle. What starts out as 'one last job' quickly becomes a hilarious fun filled journey of ghostly misfortunes.
Reckoning of Darkness,4.5,Tim Abell,Ivory Stone,Joe De Sue,Horror,"A doctor's daughter is kidnapped and buried alive, and he is given just five hours to find and rescue her."
Blackenstein,5.9,John Hart,David Gregory,Larry Bockius,Horror,"A man and his daughter are attacked in the woods by what they believe is a Bigfoot-type creature. However, they soon begin to suspect that they may have stumbled onto a nest of aliens in a hidden spacecraft."
Dead Mate,5.2,Elizabeth Mannino,John Leyton,Stephanie Beacham,Horror,"Art meets horror in End of Term where history is repeating itself at the Ford Barrington Art School. A group of students are tormented by the lingering menace of Garth Stroman, an artist ..."
Schizo,5.7,Lynne Frederick,Jenna Gallaher,Taylor M. Graham,"Drama, Horror, Mystery",»
Puppet Master: Axis of Evil,5.6,Levi Fiehler,Seong-su Kim,Yeon-ah Park,"Fantasy, Horror, Sci-Fi","A teenager, with the ability to see ghosts, returns to his hometown to face his demons."
The Red Shoes,2.8,Hye-su Kim,Dahlia Salem,David Banks,"Drama, Horror, Mystery","Slip, Sach and the rest of the Bowery Boys enter a haunted house, where they engage in slapstick with the Gravesend Family which has one Creepy Butler, 2 Mad Scientists a crazy old woman with a Man eating Plant a Savage Gorilla, an 8 foot tall Robot and a Vampiress."
Cut!,3.1,Sam Scarber,Shareefa Daanish,Wesley Andrew,"Horror, Mystery, Thriller","This is the sequel to Apocolypse. In this movie Thorold Stone is still looking for his family. The Christians, whom the rest of the world has started to call The Haters, are being framed ..."
Danur,6.4,Prilly Latuconsina,Takuma Negishi,Ami Taniguchi,Horror,»
Gyo: Tokyo Fish Attack,2.4,Mirai Kataoka,Simon Nuchtern,Margarita Amuchástegui,"Animation, Horror","A young girl finds out some disturbing supernatural truths about her father, who has been a suspect to multiple murder cases."
Snuff,5.7,Horacio Fredriksson,Marnette Patterson,Mandy Amano,Horror,"Jeff is an ordinary guy that is stuck at a dead end job with a boring life, but when a strange old man gives him an Ancient relic and tells him that he is the last bloodline of H.P. ..."
Ghosts of Goldfield,6.7,Kellan Lutz,Lila Yanow,Aidan Gavet,Horror,»
Zombie High School,4,Will Caldwell,Jessica Morris,Mariah Bonner,"Short, Horror","The sole survivor of a shipwreck washes ashore on an island at the extreme north of the British Isles. The survivor, Victor, is restored to health by the local inhabitants but guards the ..."
Haunting of the Innocent,4.3,Judd Nelson,Peter Coe,Virginia Christine,"Horror, Thriller",»
The Mummy's Curse,5.2,Lon Chaney Jr.,Sarah Beck Mather,Jamie Satterthwaite,"Fantasy, Horror, Thriller","Eddie is a Vietnam veteran who loses his arms and legs when he steps on a land mine, but a brilliant surgeon is able to attach new limbs. Unfortunately an insanely jealous assistant (who ..."
Charismata,2.3,Toor Mian,Frank Mosley,Arianne Martin,Horror,»
Don't Look in the Basement 2,3.9,Andrew Sensenig,Bill Gribble,Robert Bloodworth,"Horror, Thriller","Cute waitress/hooker is romanced and wed to handsome stranger/funeral director. He, as well as most of the town prefer their women dead. She is the obvious candidate for that position, as ..."
Dogs of Hell,5.6,Earl Owensby,Rachel G. Whittle,Eric Hanson,"Horror, Thriller",»
The Night Before,8.7,Steven Michael Quezada,Wendy Crewson,Thom Haverstock,Horror,"A recently-married woman who has been labeled as mentally unstable, begins to suspect that someone close to her is the culprit in a sudden string of murders."
Skullduggery,5.1,David Calderisi,Marina Giulia Cavalli,Luciano Pigozzi,"Comedy, Horror","During the Second World War, a young man, with the help of some animated puppets, must stop the Nazis who attacked his family and kidnapped his girlfriend."
E19 Virus,5.9,Josh Elliott Pickel,Marcia Aime,Robert Arensen,Horror,E-19 Virus is a 2014 American apocalyptic film directed by Joe Ciminera. Three teens are taken in by Scientist who injects them with an experimental drug. The teens experience extra ...
Mother Joan of the Angels,7.7,Lucyna Winnicka,Mieczyslaw Voit,Anna Ciepielewska,"Drama, Horror, Mystery",»
Lost In Apocalypse,6.2,Martin Yang,Mingyi Yang,E'Naan Zhang,"Action, Drama, Horror",A priest is sent to a small parish in the Polish countryside which is believed to be under demonic possession and there he finds his own temptations awaiting.
Alien Trespass,5.7,Eric McCormack,Jenni Baird,Robert Patrick,"Comedy, Horror, Sci-Fi","A group of seemingly unrelated individuals fight their way out of a virus-infested hotel, only to find themselves at a worse place than before."
Curse of the Puppet Master,4,George Peck,Emily Harrison,Josh Green,"Fantasy, Horror, Romance","After crash landing near a desert town, an alien enlists the help of a local waitress to re-capture a monster that escaped from the wreckage of his space ship."
The Dead the Damned and the Darkness,3.1,Robert Tweten,Iren Levy,John J. Welsh,"Action, Horror, Thriller",A scientist attempts to master the art of transferring people's souls into puppets.
Pizza,6.3,Akshay Oberoi,Parvathy Omanakuttan,Arunoday Singh,Horror,"To reach the sea, a soldier has to fight his way through zombie hordes as well attempt to help other survivors along the way."
Uberzombiefrau,3.8,Bella Demente,Christopher Rowley,Bryan Kruse,Horror,A Pizza delivery boy's mundane life takes a horrifying turn when he is sent to make a delivery to the home of a family who have a dark secret. Will he be able to overcome the evil that lurks in the shadows and live to tell his tale?
6 Plots,3.3,Andrew Clarke,Alice Darling,Ryan Corr,"Horror, Thriller","In the last few weeks of WW2, in a remote part of Eastern Europe. A desperate attempt by the Nazi's to revive and form a formidable army of dead soldiers."
Santo Versus the Vampire Women,4.9,Santo,Lorena Velázquez,María Duval,"Action, Horror",Everyone's primal fears of death and how horribly it can play out in your own mind.
Henry II: Portrait of a Serial Killer,6.7,Penelope Milford,Neil Giuntoli,Mike Houlihan,"Crime, Horror, Thriller",A professor recruits a professional wrestler to protect his daughter from vampires intent on kidnaping her and marrying her to the devil.
31-Oct,3.6,Rocky Gray,Zane Hershberger,John William Holt,Horror,"Henry II picks up where the original (Henry: Portrait of a Serial Killer) left off. Henry (Neil Giuntoli) takes a thankless job at a port-o-john company where he meets husband and wife, Kai..."
The Rizen: Possession,4.7,Julian Rhind-Tutt,Carol Cleveland,Adrian Edmondson,Horror,»
Remothered: Tormented Fathers,4,Danielle McRae,Adam Harrington,Lani Minella,"Adventure, Horror, Mystery",A group of young urban explorers and a private military unit could become the final pieces in a 60-year plan to reopen a door that should have stayed closed. But what they unleashed could almost tear our world apart.
Spring Break Massacre,5.5,Reggie Bannister,Sarah Minnich,Rick Federman,"Comedy, Horror, Thriller",Two New Orleans detectives become embroiled in a centuries-long feud between two secretive factions of vampires while investigating a runaway child's case. Torn between their everyday lives...
Scary or Die,6.9,Michael Emanuel,Igor Meglic,Bill Oberst Jr.,Horror,»
Azap,3.7,Dilek Keser,Sonya Dicle Akbas,Oktay Akyörük,"Horror, Thriller","A tribunal interrogates, tortures and murders ""witches"" and ""heretics"" during the Inquisition."
Puppet Killer,4.3,Richard Harmon,Aleks Paunovic,Johannah Newmarch,Horror,"Ms. Reed reaches the house of an old ex notary, Dr. Felton, a sick old man. Despite his weak appearance, the man seems to hide something terrifying with his wife Arianna and his personal ..."
A Taste of Evil,3.1,Barbara Stanwyck,Barbara Parkins,Roddy McDowall,"Horror, Thriller",»
Proteus,6.2,Craig Fairbrass,Toni Barry,William Marsh,"Horror, Sci-Fi, Thriller","A sleepover party during spring-break turns deadly for six beautiful sorority co-eds. Stanley Peterson, convicted serial killer, has escaped from maximum security prison. It's up to the ..."
Harvest Lake,5.7,Jason Crowe,Ellie Church,Tristan Risk,"Drama, Fantasy, Horror",»
Supergator,4.3,Brad Johnson,Kelly McGillis,Bianca Lawson,"Horror, Sci-Fi","The creation of filmmaker Michael Emanuel, SCARY OR DIE tells five interwoven horror stories that take place in and around the ""City of Angels"". A flesh-eating clown desperately trying to ..."
Dead Nude Girls,6.1,Carley Anderson,Beka Bootay,Amanda Finnamore,Horror,»
Apology,4.3,Lesley Ann Warren,Peter Weller,George Loros,"Horror, Thriller","Gin wedding. According to some, superstition, according to some people it is a gin wedding that means an experience they do not even want to remember. Until today they always came. Now ..."
Red Riding,4.7,Robin Morningstar,Claire Gillan,Jan Shutan,"Drama, Horror",»
Dracula's Dog,4.3,José Ferrer,Michael Pataki,Akihiko Hirata,Horror,"While celebrating Christmas at a cabin in the woods, a group of high school students are stalked by a psychotic killer obsessed with horror movie icons."
The H-Man,4.5,Yumi Shirakawa,Kenji Sahara,Allan Kayser,"Crime, Horror, Sci-Fi","On her way home from a stay at a mental institution after a traumatic rape, a woman realizes that someone is deliberately trying to drive her insane."
House of the Witchdoctor,7.3,Bill Moseley,Leslie Easterbrook,Anna Orso,"Crime, Horror, Thriller",Group of heroin smugglers finds shelter on abandoned oil rig after their ship had exploded. Soon they find that the oil rig was just cover for biological experiment. One of the results is ...
Darkside Witches,6.1,Gerard Diefenthal,Barbara Bouchet,Emily Boresow,Horror,»
Nailbiter,6.5,Erin McGrane,Meg Saricks,Aaron Dalla Villa,Horror,"Five friends fall under the seductive influence of a libidinous, otherworldly presence that threatens to change their lives forever."
