Movies,Ratings,Actor 1,Actor 2,Actor 3,Genres,Synopsis
Van Helsing,6.8,Jonathan Scarfe,Vincent Gale,Rukiya Bernard,"Action, Drama, Fantasy",Sheriff Dan Tashtego and a team of creeper hunters enlist the help of officer Davis Tubbs to help stop the monster's eating spree.
What We Do in the Shadows,5.8,Taika Waititi,Jemaine Clement,Taika Waititi,"Comedy, Horror","Vanessa Helsing, distant relative of famous vampire hunter Abraham Van Helsing, is resurrected only to find that vampires have taken over the world."
Scream,7.3,Neve Campbell,Courteney Cox,David Arquette,"Horror, Mystery","Viago, Deacon, and Vladislav are vampires who are finding that modern life has them struggling with the mundane - like paying rent, keeping up with the chore wheel, trying to get into nightclubs, and overcoming flatmate conflicts."
It Follows,6,Maika Monroe,Keir Gilchrist,Olivia Luccardi,"Horror, Mystery","A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game."
Jigsaw,7,Peter Spierig,Matt Passmore,Tobin Bell,"Crime, Horror, Mystery",A young woman is followed by an unknown supernatural force after a sexual encounter.
Scream: The TV Series,6.6,Bex Taylor-Klaus,John Karna,Carlson Young,"Crime, Drama, Horror","Bodies are turning up around the city, each having met a uniquely gruesome demise. As the investigation proceeds, evidence points to one suspect: John Kramer, the man known as Jigsaw, who has been dead for over 10 years."
"Salò, or the 120 Days of Sodom",6.7,Paolo Bonacelli,Laura Betti,Giorgio Cataldi,"Drama, Horror, War",A serialized/anthology series that follows a group of teenagers being targeted by a masked serial killer.
The Cabin in the Woods,6.8,Kristen Connolly,Chris Hemsworth,Anna Hutchison,Horror,"In World War II Italy, four fascist libertines round up nine adolescent boys and girls and subject them to one hundred and twenty days of physical, mental and sexual torture."
Annabelle: Creation,6.4,Anthony LaPaglia,Samara Lee,Miranda Otto,"Horror, Mystery, Thriller","Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods."
Gerald's Game,6.7,Carla Gugino,Bruce Greenwood,Chiara Aurelia,"Drama, Horror, Thriller","12 years after the tragic death of their little girl, a dollmaker and his wife welcome a nun and several girls from a shuttered orphanage into their home, where they soon become the target of the dollmaker's possessed creation, Annabelle."
The Witch,7,Anya Taylor-Joy,Ralph Ineson,Kate Dickie,"Horror, Mystery","While trying to spice up their marriage in their remote lake house, Jessie must fight to survive when her husband dies unexpectedly, leaving her handcuffed to their bed frame."
Tale of Tales,7.3,Salma Hayek,Vincent Cassel,Toby Jones,"Drama, Fantasy, Horror","A family in 1630s New England is torn apart by the forces of witchcraft, black magic and possession."
Ghostland,6.5,Crystal Reed,Mylène Farmer,Anastasia Phillips,Horror,"From the bitter quest of the Queen of Longtrellis, to two mysterious sisters who provoke the passion of a king, to the King of Highhills obsessed with a giant Flea, these tales are inspired by the fairytales by Giambattista Basile."
Cloverfield,6.9,Mike Vogel,Jessica Lucas,Lizzy Caplan,"Action, Horror, Sci-Fi","The story follows a mother of two who inherits a home from her aunt. On the first night in the new home, she is confronted with murderous intruders and fights for her daughters' lives. ..."
The Lost Boys,8,Jason Patric,Corey Haim,Dianne Wiest,"Comedy, Horror",»
Happy Death Day,6.6,Jessica Rothe,Israel Broussard,Ruby Modine,"Horror, Mystery, Thriller",A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.
It,6.2,Tim Reid,Annette O'Toole,Harry Anderson,"Drama, Horror, Mystery","After moving to a new town, two brothers discover that the area is a haven for vampires."
Shaun of the Dead,7.1,Simon Pegg,Nick Frost,Kate Ashfield,"Comedy, Horror","A college student must relive the day of her murder over and over again, in a loop that will end only when she discovers her killer's identity."
Slasher,7.4,Jim Watson,Paula Brancati,Katie McGrath,"Drama, Horror, Mystery","In 1960, seven pre-teen outcasts fight an evil demon who poses as a child-killing clown. Thirty years later, they reunite to stop the demon once and for all when it returns to their hometown."
It Comes at Night,6.3,Joel Edgerton,Christopher Abbott,Carmen Ejogo,"Horror, Mystery","A man decides to turn his moribund life around by winning back his ex-girlfriend, reconciling his relationship with his mother, and dealing with an entire community that has returned from the dead to eat the living."
Hellboy,6.9,Ron Perlman,Doug Jones,Selma Blair,"Action, Fantasy, Horror","A demon, raised from infancy after being conjured by and rescued from the Nazis, grows up to become a defender against the forces of darkness."
The New Mutants,8.1,Anya Taylor-Joy,Antonio Banderas,Maisie Williams,"Action, Horror, Sci-Fi","Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves."
The Thing,7.2,Kurt Russell,Wilford Brimley,Keith David,"Horror, Mystery, Sci-Fi","A crew in Antarctica finds a neighboring camp destroyed and its crew dead. Whatever killed them is nowhere to be found, unless it's hidden in plain sight."
Pet Sematary,5.3,Dennis Widmyer,Jason Clarke,John Lithgow,Horror,"Louis Creed, his wife Rachel and their two children Gage and Ellie move to a rural home where they are welcomed and enlightened about the eerie 'Pet Sematary' located near their home. After..."
10 Cloverfield Lane,5.2,John Goodman,Mary Elizabeth Winstead,John Gallagher Jr.,"Drama, Horror, Mystery",»
Friend Request,6.2,Alycia Debnam-Carey,William Moseley,Connor Paolo,"Horror, Thriller","After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack."
Legion,4.9,Paul Bettany,Dennis Quaid,Charles S. Dutton,"Action, Fantasy, Horror","A popular college student graciously accepts a social outcast's online friend request, but soon finds herself fighting a demonic presence that wants to make her lonely by killing her closest friends."
The Neon Demon,4.9,Elle Fanning,Christina Hendricks,Keanu Reeves,"Horror, Thriller","When a group of strangers at a dusty roadside diner come under attack by demonic forces, their only chance for survival lies with an archangel named Michael, who informs a pregnant waitress that her unborn child is humanity's last hope."
Knock Knock,7.2,Keanu Reeves,Lorenza Izzo,Ana de Armas,"Drama, Horror, Thriller","When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has."
Amityville: The Awakening,5.3,Jennifer Jason Leigh,Bella Thorne,Mckenna Grace,"Horror, Thriller","A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse."
Us,5.9,Lupita Nyong'o,Elisabeth Moss,Winston Duke,"Horror, Thriller","A desperate single mother moves with her three children into the notorious, supposedly haunted, real-life Amityville house to try and use its dark powers to cure her comatose son. Things go horribly wrong."
Hemlock Grove,6,Bill Skarsgård,Landon Liboiron,Joel de la Fuente,"Horror, Mystery, Thriller","Plot unknown. Described as a ""social horror-thriller""."
Hostile,7.1,Brittany Ashworth,Grégory Fitoussi,Javier Botet,"Drama, Horror","Secrets are just part of daily life in the small Pennsylvania town of Hemlock Grove,where the darkest evils hide in plain sight."
Blade: Trinity,7.3,Wesley Snipes,Kris Kristofferson,Parker Posey,"Action, Adventure, Horror","Juliette, a lone survivor of an apocalyptic era, fights to survive against hunger, thirst, a broken leg and strange, disturbing creatures that only come out at nighttime."
Cannibal Holocaust,5.5,Robert Kerman,Francesca Ciardi,Perry Pirkanen,"Adventure, Horror","Blade, now a wanted man by the FBI, must join forces with the Nightstalkers to face his most challenging enemy yet: Dracula."
Blade,5.7,Wesley Snipes,Stephen Dorff,Kris Kristofferson,"Action, Horror","During a rescue mission into the Amazon rainforest, a professor stumbles across lost film shot by a missing documentary crew."
From Dusk Till Dawn,7.4,Harvey Keitel,George Clooney,Juliette Lewis,"Action, Crime, Horror","A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires."
Mom and Dad,8,Nicolas Cage,Selma Blair,Anne Winters,"Horror, Thriller","Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results."
47 Metres Down,7.6,Mandy Moore,Claire Holt,Matthew Modine,"Adventure, Drama, Horror",A teenage girl and her little brother must survive a wild 24 hours during which a mass hysteria of unknown origins causes parents to turn violently on their own kids.
Carrie,5.7,Sissy Spacek,Piper Laurie,Amy Irving,Horror,"Two sisters vacationing in Mexico are trapped in a shark cage at the bottom of the ocean. With less than an hour of oxygen left and great white sharks circling nearby, they must fight to survive."
The Exorcist,6.2,Ellen Burstyn,Max von Sydow,Linda Blair,Horror,"Carrie White, a shy, friendless teenage girl who is sheltered by her domineering, religious mother, unleashes her telekinetic powers after being humiliated by her classmates at her senior prom."
Saw,5.5,Cary Elwes,Leigh Whannell,Danny Glover,"Crime, Horror, Mystery","When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter."
The Purge,5.9,Ethan Hawke,Lena Headey,Max Burkholder,"Horror, Sci-Fi, Thriller","Two strangers, who awaken in a room with no recollection of how they got there, soon discover they're pawns in a deadly game perpetrated by a notorious serial killer."
The Strangers,6.6,Scott Speedman,Liv Tyler,Gemma Ward,"Horror, Mystery, Thriller","A wealthy family are held hostage for harboring the target of a murderous syndicate during the Purge, a 12-hour period in which any and all crime is legal."
Piranha 3D,7.5,Elisabeth Shue,Jerry O'Connell,Richard Dreyfuss,"Comedy, Horror, Thriller",A young couple staying in an isolated vacation home are terrorized by three unknown assailants.
Hostel,5.8,Jay Hernandez,Derek Richardson,Eythor Gudjonsson,"Horror, Mystery, Thriller","After a sudden underwater tremor sets free scores of the prehistoric man-eating fish, an unlikely group of strangers must band together to stop themselves from becoming fish food for the area's new razor-toothed residents."
The Secret of Marrowbone,7.4,George MacKay,Anya Taylor-Joy,Charlie Heaton,"Drama, Horror, Thriller","Three backpackers head to a Slovak city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them."
A Nightmare on Elm Street,7.2,Heather Langenkamp,Johnny Depp,Robert Englund,Horror,"A young man and his three younger siblings, who have kept secret the death of their beloved mother in order to remain together, are plagued by a sinister presence in the sprawling manor in which they live."
Underworld: Blood Wars,5.9,Kate Beckinsale,Theo James,Tobias Menzies,"Action, Adventure, Fantasy","Several people are hunted by a cruel serial killer who kills his victims in their dreams. While the survivors are trying to find the reason for being chosen, the murderer won't lose any chance to kill them as soon as they fall asleep."
Sleepy Hollow,8.2,Lyndie Greenwood,Nicole Beharie,Orlando Jones,"Adventure, Drama, Fantasy","Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her."
Channel Zero,7.1,Abigail Pniowsky,Keenan Lehmann,Amy Forsyth,"Drama, Horror, Mystery",Ichabod Crane is resurrected and pulled two and a half centuries through time to unravel a mystery that dates all the way back to the founding fathers.
Cold Skin,7.2,Ray Stevenson,David Oakes,Aura Garrido,"Adventure, Horror, Sci-Fi","An anthology series based on popular Internet Creepypastas, including Candle Cove, The No-End House, Butcher's Block and Hidden Door."
The Exorcist,5.9,Ben Daniels,Kurt Egyiawan,Hannah Kasulka,"Drama, Horror, Thriller",A young man who arrives at a remote island finds himself trapped in a battle for his life.
Bone Tomahawk,7.2,Kurt Russell,Patrick Wilson,Matthew Fox,"Adventure, Drama, Horror",Follows three priests dealing with cases of a demonic presence targeting a family and a foster home.
Beauty and the Beast,6.7,Jay Ryan,Nina Lisandrello,Austin Basis,"Drama, Horror, Romance","In the dying days of the old west, an elderly sheriff and his posse set out to rescue their town's doctor from cannibalistic cave dwellers."
Carrie,7.2,Chloë Grace Moretz,Julianne Moore,Gabriella Wilde,"Drama, Horror",A beautiful detective falls in love with an ex-soldier who goes into hiding from the secret government organization that turned him into a mechanically charged beast.
I Am Legend,7.6,Will Smith,Alice Braga,Charlie Tahan,"Drama, Horror, Sci-Fi","A shy girl, outcasted by her peers and sheltered by her religious mother, unleashes telekinetic terror on her small town after being pushed too far at her senior prom."
Pari,7,Anushka Sharma,Parambrata Chatterjee,Rajat Kapoor,"Horror, Mystery","Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure."
The Mist,7.7,Thomas Jane,Marcia Gay Harden,Laurie Holden,"Horror, Sci-Fi, Thriller","Pari is a supernatural horror film in which a man attempts to help a woman named Ruksana, an abuse victim, who he found chained up in a hut."
28 Days Later...,3.4,Cillian Murphy,Naomie Harris,Christopher Eccleston,"Drama, Horror, Sci-Fi","A freak storm unleashes a species of bloodthirsty creatures on a small town, where a small band of citizens hole up in a supermarket and fight for their lives."
World War Z,6.7,Brad Pitt,Mireille Enos,Daniella Kertesz,"Action, Adventure, Horror","Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary."
Zombieland,7,Jesse Eisenberg,Emma Stone,Woody Harrelson,"Adventure, Comedy, Horror","Former United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself."
Day of the Dead: Bloodline,5.2,Sophie Skelton,Johnathon Schaech,Jeff Gum,Horror,"A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America."
Corbin Nash,5.3,Corey Feldman,Malcolm McDowell,Rutger Hauer,"Action, Horror, Thriller",A small group of military personnel and survivalists dwell in an underground bunker as they seek to find a cure in a world overrun by zombies.
Orphan,5.7,Vera Farmiga,Peter Sarsgaard,Isabelle Fuhrman,"Horror, Mystery, Thriller",A rogue police detective in search of his parents killer is murdered and reborn the ultimate killer.
A Serbian Film,5.4,Srdjan 'Zika' Todorovic,Sergej Trifunovic,Jelena Gavrilovic,"Horror, Mystery, Thriller",A husband and wife who recently lost their baby adopt a 9 year-old girl who is not nearly as innocent as she claims to be.
The Bad Batch,5.2,Suki Waterhouse,Jason Momoa,Jayda Fink,"Drama, Horror, Romance","An aging porn star agrees to participate in an ""art film"" in order to make a clean break from the business, only to discover that he has been drafted into making a pedophilia and necrophilia themed snuff film."
Insidious,6.8,Patrick Wilson,Rose Byrne,Ty Simpkins,"Horror, Mystery, Thriller",A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.
The Covenant,5.3,Steven Strait,Sebastian Stan,Toby Hemingway,"Action, Fantasy, Horror","Four young men who belong to a New England supernatural legacy are forced to battle a fifth power long thought to have died out. Meanwhile, jealousy and suspicion threaten to tear them apart."
