name,link,rating
Pakeeza Restaurant,/Restaurant_Review-g298298-d2507480-Reviews-Pakeeza_Restaurant-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Tandoor Grill,/Restaurant_Review-g298298-d4101744-Reviews-Tandoor_Grill-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Ming Court Hong Kong Tim Sum,/Restaurant_Review-g298298-d4153772-Reviews-Ming_Court_Hong_Kong_Tim_Sum-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Restoran New Hollywood,/Restaurant_Review-g298298-d8672722-Reviews-Restoran_New_Hollywood-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Garvy's French Dining,/Restaurant_Review-g298298-d5287747-Reviews-Garvy_s_French_Dining-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Dai Shu Geok (Big Tree Foot),/Restaurant_Review-g298298-d2477688-Reviews-Dai_Shu_Geok_Big_Tree_Foot-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Michelangelo's Pizzeria,/Restaurant_Review-g298298-d2320268-Reviews-Michelangelo_s_Pizzeria-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Greentown Dimsum Cafe,/Restaurant_Review-g298298-d7353073-Reviews-Greentown_Dimsum_Cafe-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
The Pomelo - The Banjaran Hotsprings Retreat,/Restaurant_Review-g298298-d2432879-Reviews-The_Pomelo_The_Banjaran_Hotsprings_Retreat-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Restoran Cowan Street Ayam Tauge & Koitiau,/Restaurant_Review-g298298-d8527989-Reviews-Restoran_Cowan_Street_Ayam_Tauge_Koitiau-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Plan B,/Restaurant_Review-g298298-d4825683-Reviews-Plan_B-Ipoh_Kinta_District_Perak.html,3.5 of 5 bubbles
Sun Marpoh Restaurant,/Restaurant_Review-g298298-d8381225-Reviews-Sun_Marpoh_Restaurant-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Ipoh Tuck Kee,/Restaurant_Review-g298298-d7008452-Reviews-Ipoh_Tuck_Kee-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Nasi Vanggey,/Restaurant_Review-g298298-d3294251-Reviews-Nasi_Vanggey-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Yum yum,/Restaurant_Review-g298298-d878279-Reviews-Yum_yum-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Sin Hup Kee Restaurant,/Restaurant_Review-g298298-d5263574-Reviews-Sin_Hup_Kee_Restaurant-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Lou Wong Bean Sprout Chicken,/Restaurant_Review-g298298-d1058387-Reviews-Lou_Wong_Bean_Sprout_Chicken-Ipoh_Kinta_District_Perak.html,3.5 of 5 bubbles
Concubine Lane Tau Fu Fa,/Restaurant_Review-g298298-d10359606-Reviews-Concubine_Lane_Tau_Fu_Fa-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Restoran Syw,/Restaurant_Review-g298298-d8447852-Reviews-Restoran_Syw-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
STG Tea House Cafe,/Restaurant_Review-g298298-d4662464-Reviews-STG_Tea_House_Cafe-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
The Museum New Concept In Tow,/Restaurant_Review-g298298-d12847330-Reviews-The_Museum_New_Concept_In_Tow-Ipoh_Kinta_District_Perak.html,5 of 5 bubbles
Citrus Wine & Dine,/Restaurant_Review-g298298-d5270546-Reviews-Citrus_Wine_Dine-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Zento Sushi,/Restaurant_Review-g298298-d3906127-Reviews-Zento_Sushi-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Maiale Japanese Style Italian Restaurant,/Restaurant_Review-g298298-d8383335-Reviews-Maiale_Japanese_Style_Italian_Restaurant-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Jeff's Cellar,/Restaurant_Review-g298298-d12166856-Reviews-Jeff_s_Cellar-Ipoh_Kinta_District_Perak.html,5 of 5 bubbles
Vnam,/Restaurant_Review-g298298-d4877860-Reviews-Vnam-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Ding Feng Teow Chew Tau Fu Fa,/Restaurant_Review-g298298-d10248582-Reviews-Ding_Feng_Teow_Chew_Tau_Fu_Fa-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Nasi Ayam Puziah Bazar Bulat,/Restaurant_Review-g298298-d1231555-Reviews-Nasi_Ayam_Puziah_Bazar_Bulat-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Penang Road Famous Teochew Chendul,/Restaurant_Review-g298298-d8542076-Reviews-Penang_Road_Famous_Teochew_Chendul-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Bricks & Barrels,/Restaurant_Review-g298298-d5449103-Reviews-Bricks_Barrels-Ipoh_Kinta_District_Perak.html,3.5 of 5 bubbles
Wing zone,/Restaurant_Review-g298298-d12105769-Reviews-Wing_zone-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Ipoh Garden Gourmet Square Sdn. Bhd.,/Restaurant_Review-g298298-d5863091-Reviews-Ipoh_Garden_Gourmet_Square_Sdn_Bhd-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Restoran Nasi Vanggey Station 18,/Restaurant_Review-g298298-d6861565-Reviews-Restoran_Nasi_Vanggey_Station_18-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Yuk Sou Hin,/Restaurant_Review-g298298-d8414243-Reviews-Yuk_Sou_Hin-Ipoh_Kinta_District_Perak.html,3.5 of 5 bubbles
K10 Claypot Chicken Rice,/Restaurant_Review-g298298-d7006944-Reviews-K10_Claypot_Chicken_Rice-Ipoh_Kinta_District_Perak.html,3.5 of 5 bubbles
Kok Thai Restaurant,/Restaurant_Review-g298298-d7359059-Reviews-Kok_Thai_Restaurant-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Atas Speakeasy,/Restaurant_Review-g298298-d13497660-Reviews-Atas_Speakeasy-Ipoh_Kinta_District_Perak.html,5 of 5 bubbles
Canton-i,/Restaurant_Review-g298298-d4131558-Reviews-Canton_i-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Delight Seafood Restaurant,/Restaurant_Review-g298298-d4783282-Reviews-Delight_Seafood_Restaurant-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Cuisines,/Restaurant_Review-g298298-d12211671-Reviews-Cuisines-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Restoran Moga Punjab,/Restaurant_Review-g298298-d9717138-Reviews-Restoran_Moga_Punjab-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Huat Chicken Restaurant,/Restaurant_Review-g298298-d10529038-Reviews-Huat_Chicken_Restaurant-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Restoran Mee Udang & Ketam Sempoi Diraja,/Restaurant_Review-g298298-d8668895-Reviews-Restoran_Mee_Udang_Ketam_Sempoi_Diraja-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Berlin's Bier Houz,/Restaurant_Review-g298298-d3497863-Reviews-Berlin_s_Bier_Houz-Ipoh_Kinta_District_Perak.html,3.5 of 5 bubbles
Peak Village Cafe,/Restaurant_Review-g298298-d8456966-Reviews-Peak_Village_Cafe-Ipoh_Kinta_District_Perak.html,5 of 5 bubbles
East Come Restaurant,/Restaurant_Review-g298298-d6973526-Reviews-East_Come_Restaurant-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Rojak N Cendol Padang Ipoh,/Restaurant_Review-g298298-d9458152-Reviews-Rojak_N_Cendol_Padang_Ipoh-Ipoh_Kinta_District_Perak.html,3.5 of 5 bubbles
Restoran Chef Fatt,/Restaurant_Review-g298298-d10713232-Reviews-Restoran_Chef_Fatt-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Restaurant Lucky Ipoh,/Restaurant_Review-g298298-d11826816-Reviews-Restaurant_Lucky_Ipoh-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Woolley Food City,/Restaurant_Review-g298298-d877522-Reviews-Woolley_Food_City-Ipoh_Kinta_District_Perak.html,3.5 of 5 bubbles
Facey Noodle House,/Restaurant_Review-g298298-d7226674-Reviews-Facey_Noodle_House-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Restoran Choong Kee Pokok Besar,/Restaurant_Review-g298298-d8852624-Reviews-Restoran_Choong_Kee_Pokok_Besar-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Kafe Yoon Wah,/Restaurant_Review-g298298-d7367607-Reviews-Kafe_Yoon_Wah-Ipoh_Kinta_District_Perak.html,3.5 of 5 bubbles
Having's,/Restaurant_Review-g298298-d13423276-Reviews-Having_s-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Nam Fatt Fish Ball Noodle House,/Restaurant_Review-g298298-d7066739-Reviews-Nam_Fatt_Fish_Ball_Noodle_House-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Chee Cheong Fun At Ipoh Parade,/Restaurant_Review-g298298-d1138319-Reviews-Chee_Cheong_Fun_At_Ipoh_Parade-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Kedai Kopi Keng Nam,/Restaurant_Review-g298298-d9727392-Reviews-Kedai_Kopi_Keng_Nam-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Squirrels Hideout,/Restaurant_Review-g298298-d13326324-Reviews-Squirrels_Hideout-Ipoh_Kinta_District_Perak.html,5 of 5 bubbles
Biskut dan Kuih Sin Mee Fah,/Restaurant_Review-g298298-d8449991-Reviews-Biskut_dan_Kuih_Sin_Mee_Fah-Ipoh_Kinta_District_Perak.html,5 of 5 bubbles
Ninety One I,/Restaurant_Review-g298298-d10664296-Reviews-Ninety_One_I-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Sin Fonzie,/Restaurant_Review-g298298-d7359713-Reviews-Sin_Fonzie-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Restoran Sayuran Chuk Lum,/Restaurant_Review-g298298-d10691789-Reviews-Restoran_Sayuran_Chuk_Lum-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Restaurant Caterbest,/Restaurant_Review-g298298-d10415726-Reviews-Restaurant_Caterbest-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Restoran Hung Ting,/Restaurant_Review-g298298-d10622221-Reviews-Restoran_Hung_Ting-Ipoh_Kinta_District_Perak.html,5 of 5 bubbles
Tan Ngan Lo Herbal Tea Cafe,/Restaurant_Review-g298298-d11964713-Reviews-Tan_Ngan_Lo_Herbal_Tea_Cafe-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
Yee Fatt,/Restaurant_Review-g298298-d10821091-Reviews-Yee_Fatt-Ipoh_Kinta_District_Perak.html,4.5 of 5 bubbles
Weng Kee Seafood Restaurant,/Restaurant_Review-g298298-d5432263-Reviews-Weng_Kee_Seafood_Restaurant-Ipoh_Kinta_District_Perak.html,4 of 5 bubbles
