Movies,Ratings,Actor 1,Actor 2,Actor 3,Genres,Synopsis
World War Z,7.0,Brad Pitt,Mireille Enos,Daniella Kertesz,"Action, Adventure, Horror","Former United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself."
Scream,7.2,Neve Campbell,Courteney Cox,David Arquette,"Horror, Mystery","A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game."
The Lost Boys,7.3,Jason Patric,Corey Haim,Dianne Wiest,"Comedy, Horror","After moving to a new town, two brothers discover that the area is a haven for vampires."
Bram Stoker's Dracula,7.5,Gary Oldman,Winona Ryder,Anthony Hopkins,Horror,The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and inflict havoc in the foreign land.
Blade,7.1,Wesley Snipes,Stephen Dorff,Kris Kristofferson,"Action, Horror","A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires."
The Neon Demon,6.2,Elle Fanning,Christina Hendricks,Keanu Reeves,"Horror, Thriller","When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has."
The Exorcist,8.2,Ben Daniels,Kurt Egyiawan,Hannah Kasulka,"Drama, Horror, Thriller",Follows three priests dealing with cases of a demonic presence targeting a family and a foster home.
Tale of Tales,6.4,Salma Hayek,Vincent Cassel,Toby Jones,"Drama, Fantasy, Horror","From the bitter quest of the Queen of Longtrellis, to two mysterious sisters who provoke the passion of a king, to the King of Highhills obsessed with a giant Flea, these tales are inspired by the fairytales by Giambattista Basile."
The Conjuring 2,7.4,Vera Farmiga,Patrick Wilson,Madison Wolfe,"Horror, Mystery, Thriller",Ed and Lorraine Warren travel to North London to help a single mother raising 4 children alone in a house plagued by a supernatural spirit.
The Babysitter,6.3,Judah Lewis,Samara Weaving,Robbie Amell,"Comedy, Horror",The events of one evening take an unexpected turn for the worst for a young boy trying to spy on his babysitter.
The Thing,8.1,Kurt Russell,Wilford Brimley,Keith David,"Horror, Mystery, Sci-Fi","A crew in Antarctica finds a neighboring camp destroyed and its crew dead. Whatever killed them is nowhere to be found, unless it's hidden in plain sight."
Don't Breathe,7.1,Stephen Lang,Jane Levy,Dylan Minnette,"Crime, Horror, Thriller","Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems."
Slasher,6.6,Jim Watson,Paula Brancati,Katie McGrath,"Drama, Horror, Mystery","A young woman returns to the small town where her parents were murdered, only to find the past re-emerging as a new series of murders begins."
Crimson Peak,6.5,Mia Wasikowska,Jessica Chastain,Tom Hiddleston,"Drama, Fantasy, Horror","In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds - and remembers."
Flatliners,6.6,Kiefer Sutherland,Kevin Bacon,Julia Roberts,"Drama, Horror, Sci-Fi","Five medical students experiment with ""near death"" experiences, until the dark consequences of past tragedies begin to jeopardize their lives."
Cloverfield,7.0,Mike Vogel,Jessica Lucas,Lizzy Caplan,"Action, Horror, Sci-Fi",A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.
Orphan,7.0,Vera Farmiga,Peter Sarsgaard,Isabelle Fuhrman,"Horror, Mystery, Thriller",A husband and wife who recently lost their baby adopt a 9 year-old girl who is not nearly as innocent as she claims to be.
10 Cloverfield Lane,7.2,John Goodman,Mary Elizabeth Winstead,John Gallagher Jr.,"Drama, Horror, Mystery","After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack."
Jennifer's Body,5.2,Megan Fox,Amanda Seyfried,Adam Brody,"Comedy, Horror",A newly possessed high school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?
Island Zero,4.0,Laila Robins,Adam Wade McLaughlin,Teri Reeves,Horror,"A fishing community on a remote Maine island finds itself suddenly cut off from the rest of the world after the ferry stops coming. When people start to vanish, the terrified survivors realize that someone - or something - is hunting them."
Hellboy,6.9,Ron Perlman,Doug Jones,Selma Blair,"Action, Fantasy, Horror","A demon, raised from infancy after being conjured by and rescued from the Nazis, grows up to become a defender against the forces of darkness."
The Exorcist,8.0,Ellen Burstyn,Max von Sydow,Linda Blair,Horror,"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter."
Pari,6.7,Anushka Sharma,Parambrata Chatterjee,Rajat Kapoor,"Horror, Mystery","Pari is a supernatural horror film in which a man attempts to help a woman named Ruksana, an abuse victim, who he found chained up in a hut."
Sleepy Hollow,7.4,Lyndie Greenwood,Nicole Beharie,Orlando Jones,"Adventure, Drama, Fantasy",Ichabod Crane is resurrected and pulled two and a half centuries through time to unravel a mystery that dates all the way back to the founding fathers.
Suspiria,7.5,Jessica Harper,Stefania Casini,Flavio Bucci,Horror,An American newcomer to a prestigious German ballet academy comes to realize that the school is a front for something sinister amid a series of grisly murders.
Hemlock Grove,7.2,Bill Skarsgård,Landon Liboiron,Joel de la Fuente,"Horror, Mystery, Thriller","Secrets are just part of daily life in the small Pennsylvania town of Hemlock Grove,where the darkest evils hide in plain sight."
Rise of the Footsoldier 3,5.7,Craig Fairbrass,Terry Stone,Roland Manookian,"Action, Comedy, Crime","Notorious gangster, Pat Tate, rises through the ranks of Essex's criminal underworld. A prequel to the 'Rise of the Footsoldier' franchise."
