Movies,Ratings,Actor 1,Actor 2,Actor 3,Genres,Synopsis 
Girls Gone Dead,3.5,Aaron T. Wells,Katie Peterson,Shea Stewart,"Comedy, Horror",A group of six ex-high school cheerleaders are stalked by a killer with a medieval war hammer and battle axe during their first Spring Break from college.
K-Shop,6.0,Ziad Abaza,Harry Reid,Darren Morfitt,"Crime, Horror, Thriller","A kebab shop owner's son, Salah, turns vigilante after his father's death in an effort to clean up the relentless onslaught of boozed up thrill seekers waging war on his doorstep."
It Lives Again,5.1,Frederic Forrest,Kathleen Lloyd,John P. Ryan,Horror,An epidemic of mutant monster babies sweeps America.
Kindred: The Embraced,7.7,Erik King,Patrick Bauchau,Brigid Brannagh,"Drama, Fantasy, Horror","Julian Luna, the undead Prince of the City, leads the Vampire Clans as he falls in love with Caitlin, a human reporter."
Shock Waves,5.7,Peter Cushing,John Carradine,Brooke Adams,"Horror, Mystery, Sci-Fi",Visitors to a remote island discover that a reclusive Nazi commandant has been breeding a group of Zombie soldiers.
Debug,4.3,Tenika Davis,Jason Momoa,Adrian Holmes,"Horror, Sci-Fi","Six young computer hackers, sent to work on a derelict spaceship, are forced to match wits with a vengeful artificial intelligence that would kill to be human."
The Swarm,4.4,Michael Caine,Katharine Ross,Richard Widmark,"Horror, Thriller",A huge swarm of deadly African bees spreads terror over American cities by killing thousands of people.
The Remains,3.7,Todd Lowe,Brooke Butler,Hannah Nordberg,"Horror, Thriller","After a family moves into an old Victorian home, they discover a chest in the attic containing antiques tainted by a malevolent spirit. As the antiques slowly possess each family member, ..."
The Watcher in the Woods,4.7,Anjelica Huston,Tallulah Evans,Nicholas Galitzine,Horror,»
Bed of the Dead,4.6,Colin Price,Alysa King,Gwenlyn Cumyn,Horror,"Mrs. Aylwood is a distraught mother since her daughter, Karen, vanished in the Welsh countryside 30 years ago. When the Carstairs family move into the Aylwood manor for the summer., strange..."
Potato Salad,1.3,Joyce Ilg,Torge Oelrich,Otto Waalkes,"Comedy, Horror",»
Dark Shadows,7.7,Barbara Blackburn,Jim Fyfe,Joanna Going,"Drama, Horror, Romance","Four twentysomethings find themselves stuck on a haunted antique bed where leaving means suffering a gruesome death. Plagued with frightening hallucinations, they must figure out the bed's ..."
The Revenge of Frankenstein,6.9,Peter Cushing,Francis Matthews,Eunice Gayson,Horror,»
Kuso,5.1,Hannibal Buress,George Clinton,David Firth,"Comedy, Drama, Horror",When a deadly zombie virus infects a school in Germany it remains on the student Leo to save the world.
Tokyo Vampire Hotel,6.2,Yumi Adachi,Megumi Kagurazaka,Kaho,"Fantasy, Horror","Victoria Winters comes to Collinwood, an isolated mansion in Maine, to work as a governess, but soon finds herself drawn into a strange world of vampires, ghosts and curses."
Basket Case 3,4.5,Kevin Van Hentenryck,Annie Ross,Gil Roper,"Comedy, Horror","Baron Frankenstein escapes from the guillotine and goes to Germany. There, he names himself Dr. Stein and plans to restart his experiments by using parts of dead bodies."
The Toxic Avenger Part II,5.1,Lloyd Kaufman,Ron Fazio,John Altamura,"Action, Comedy, Horror",Events unfold after a devastating earthquake in Los Angeles.
The Sandman,5.0,Iggy Pop,Peter Blankenstein,Dee Snider,Horror,"Manami is captured by blood thirsty trigger happy vampires, and taken to their hotel, where they keep prisoners as future meals. They are all instructed to find a partner to survive, when a vampire clan from Transylvania interferes."
Strangeland,6.1,Kevin Gage,Elizabeth Peña,Harvey Keitel,"Horror, Thriller",Duane recovers from his delusional breakdown to find his freakish basket-bound brother Belial will soon become a father. But not everything is joyous as the once tight knit brothers no longer seem to trust each other.
Two Evil Eyes,6.9,George A. Romero,Adrienne Barbeau,Claude Earl Jones,Horror,"The Toxic Avenger is tricked into traveling to Tokyo to search for his estranged father, leaving Tromaville open to complete domination by an evil corporation."
Dark Night of the Scarecrow,4.7,Charles Durning,Robert F. Lyons,Daniel Cudmore,Horror,"THE SANDMAN tells the story of Nathan, a young student in the city who struggles to forget his childhood trauma at the hands of the serial killer dubbed ""The Sandman."" Nathan killed The ..."
Devil in the Dark,4.7,Robin Dunne,Dan Payne,Catherine Curtin,"Horror, Thriller",»
Camera Obscura,5.5,Christopher Denham,Nadja Bobyleva,Noel Carroll,"Horror, Thriller",A detective pursues a sadist specializing in body modification rituals who lures teenagers through the internet.
I Had a Bloody Good Time at House Harker,6.3,Derek Haugen,Jacob Givens,Jill Schoelen,"Comedy, Horror","Two horror tales based on short stories by Edgar Allan Poe directed by two famous horror directors, George A. Romero and Dario Argento. A greedy wife kills her husband, but not completely. A sleazy reporter adopts a strange black cat."
When a Stranger Calls Back,6.5,Carol Kane,Charles Durning,Angus Scrimm,"Horror, Mystery, Thriller","In a small Southern town, a wrongfully-killed man exacts revenge on those who murdered him from beyond the grave."
Phantasm II,4.7,James Le Gros,Reggie Bannister,Gene Simmons,"Action, Fantasy, Horror",Two estranged brothers find themselves stalked by a terrifying unknown presence while on a weekend hunting trip in remote British Columbia.
KISS Meets the Phantom of the Park,3.2,Peter Criss,Ace Frehley,Sam McMurray,"Fantasy, Horror, Music","A veteran war photographer with PTSD sees imminent deaths in his developed photos, questioning his already fragile sanity and putting the lives of those he loves in danger."
Lake Placid 2,5.3,John Schneider,Sarah Lafleur,June Chadwick,"Action, Horror, Sci-Fi",It's been generations since the Harkers' great-great grandfather killed Count Dracula. Now the Harker brothers and their best friend Ned are a town joke - until a real vampire turns up.
Forbidden World,4.9,Jesse Vint,Dawn Dunlap,Carol Kottenbrook,"Horror, Sci-Fi","A young babysitter, all alone in the house with two children asleep above, is bothered by a stranger. Unfortunately, the phone's dead..."
The Slayer,6.0,Sarah Kendall,Frederick Flynn,Chad Lowe,Horror,"Mike, now released from a psychiatric hospital, continues his journey to stop the evil Tall Man from his grim work."
Highway to Hell,3.1,Patrick Bergin,Adam Storke,A.J. McLean,"Adventure, Comedy, Fantasy",
Dead 7,7.2,Carrie Keagan,Joey Fatone,Joey Fatone,"Comedy, Horror, Western",", a rock band made up of superheroes, battles an evil inventor who has plans for destruction at a California amusement park."
Vampire Hunter D,3.6,Nick Carter,Carrie Keagan,Seizô Katô,"Animation, Action, Fantasy","Man-eating crocodiles return to the lake, as two males and one aggressive female crocodile protecting their nest, wreak havoc on the locals."
Trog,4.1,Kaneto Shiozawa,Michie Tomizawa,Bernard Kay,"Horror, Sci-Fi","In the distant future, a federation marshal arrives at a research lab on a remote planet where a genetic experiment has gotten loose and begins feeding on the dwindling scientific group."
Children of the Corn III: Urban Harvest,4.8,Joan Crawford,Michael Gough,Jim Metzler,"Horror, Thriller","Siblings, Eric & his surreal artist sister Kay, her doctor husband David, her sister-in-law Brooke along with pilot Marsh become stranded on a rugged isle face off against a supernatural beast drawn to Kay who dreams of its killings."
Always Watching: A Marble Hornets Story,9.2,Daniel Cerny,Ron Melendez,Jake McDorman,Horror,"An eloping bride is taken into Hell, and her fiancé must pursue."
Dragon Age: Origins,4.1,Alexandra Breckenridge,Chris Marquette,Kate Mulgrew,"Action, Adventure, Fantasy",A post-apocalyptic Western that follows a group of gunslingers as they look to rid a small town of a zombie plague. Starring
Blood Hook,8.0,Steve Valentine,Peter Renaday,Patrick Danz,"Comedy, Horror",","
Onibaba,5.1,Mark Jacobs,Lisa Jane Todd,Kei Satô,"Drama, Horror",","
Dylan Dog: Dead of Night,6.2,Nobuko Otowa,Jitsuko Yoshimura,Sam Huntington,"Action, Comedy, Crime",and
Calvaire,5.2,Brandon Routh,Anita Briem,Gigi Coursigny,Horror,.
Halloweed,3.6,Simon Rex,Shannon Brown,Jim O'Heir,"Action, Adventure, Comedy","A comedic blend of murder, mystery and marijuana. Trying to escape the infamy of a serial killer father, Trent Modine and his goof-ball stepbrother Joey, both seeking a new start, find ..."
Paranoia Agent,8.2,Toshihiko Seki,Michael McConnohie,Liam O'Brien,"Animation, Drama, Horror",»
Desperation,5.3,Tom Skerritt,Steven Weber,Annabeth Gish,"Drama, Fantasy, Horror","Seemingly unconnected citizens of Tokyo are targeted for bludgeoning by a boy with a golden baseball bat. As detectives try to link the victims, they discover that following the assaults, the victims' lives have improved in some way."
Curtains,5.8,John Vernon,Samantha Eggar,Linda Thorson,"Horror, Mystery, Thriller","When a sheriff arrests a writer, a family, a couple, and a hitchiker and throws them in a jail cell in the deserted town of Desperation, they must fight for their lives."
Leprechaun: Back 2 tha Hood,4.0,Warwick Davis,Tangi Miller,Laz Alonso,"Comedy, Fantasy, Horror",Six young actresses auditioning for a movie role at a remote mansion are targeted by a mysterious masked murderer.
Tarantula,6.5,John Agar,Mara Corday,Leo G. Carroll,"Horror, Sci-Fi","When Emily Woodrow and her friends happen on a treasure chest full of gold coins, they fail to to heed the warnings of a wise old psychic who had foretold that they would encounter trouble with a very nasty and protective Leprechaun."
Storm Warning,5.9,Nadia Farès,Robert Taylor,David Lyons,Horror,A spider escapes from an isolated desert laboratory experimenting in giantism and grows to tremendous size as it wreaks havoc on the local inhabitants.
Ratter,4.6,Ashley Benson,Matt McGorry,Kaili Vernoff,"Drama, Horror, Thriller",A yuppie couple lost in a thick brush filled marsh seek refuge at an isolated farmhouse only to discover they've jumped out of the frying pan into the fire.
Communion,5.7,Christopher Walken,Lindsay Crouse,Frances Sternhagen,"Biography, Drama, Horror",A young graduate student is tormented by a stalker who hacks into her electronic devices and monitors her every move.
Tank 432,3.4,Rupert Evans,Steve Garry,Deirdre Mullins,"Action, Horror, Thriller","Whitley Strieber goes with his family and some friends to his holiday home in the forest. They experience some weird occurances, are they UFO activity? Whitley is abducted and then faces a ..."
The Devil's Rock,5.7,Craig Hall,Matthew Sunderland,Gina Varela,Horror,»
Laserblast,2.5,Kim Milford,Cheryl Smith,Gianni Russo,"Horror, Sci-Fi",A team of mercenaries confront nightmarish visions when they become trapped inside an armoured personnel carrier.
A Return to Salem's Lot,4.3,Michael Moriarty,Samuel Fuller,Ricky Addison Reed,"Comedy, Horror, Thriller","Set in the Channel Islands on the eve of D Day,two Kiwi commandos, sent to destroy German gun emplacements to distract Hitler's forces away from Normandy, discover a Nazi occult plot to unleash demonic forces to win the war."
The Ice Cream Truck,4.2,Deanna Russo,Emil Johnsen,John Redlinger,"Comedy, Horror, Mystery","A teenager stumbles upon an alien weapon, which transforms him into a grotesque killer."
Charlie's Farm,4.6,Tara Reid,Nathan Jones,Kane Hodder,"Comedy, Horror",A man and his son vacation to the quiet vampire populated town of Salem's Lot.
Creep 3,4.6,Steve Guttenberg,Nia Peeples,Patrick Renna,Horror,"Mary moves back to her suburban hometown, to find that the suburbs are scarier in more ways than she ever remembered."
Lavalantula,5.7,Karin Well,Gianluigi Chirizzi,Simone Mattioli,"Action, Comedy, Horror","In an effort to do something different, four friends head into Australia's outback to explore Charlie's Farm, the site where a violent family met their end at the hands of an angry mob. ..."
Burial Ground: The Nights of Terror,7.1,Clyde Geronimi,Jack Kinney,Bing Crosby,Horror,»
The Adventures of Ichabod and Mr. Toad,4.6,Pierre Quérut,Jean Rollin,Christina von Blanc,"Animation, Comedy, Family",Part three of the 'Creep' trilogy.
A Virgin Among the Living Dead,4.7,Jennifer Kroll,Jason Scott Lee,Craig Sheffer,Horror,"Volcanic eruptions in Los Angeles unleash a swarm of gigantic, lava-breathing tarantulas."
Dracula II: Ascension,5.0,Barbara Bach,Claudio Cassinelli,Richard Johnson,Horror,A professor opens a crypt and reanimates rotten zombies. The zombies attack a jet-set-group which is celebrating a party in a villa nearby...
Screamers,5.6,Michael Ritchie,Kristen Riter,Matthew Goldsby,"Action, Adventure, Horror","An animated adaptation of ""The Wind in the Willows"" followed by an adaptation of ""The Legend of Sleepy Hollow""."
Student Bodies,5.2,Suangporn Jaturaphut,Dean Barrett,Shaun Delaney,"Comedy, Horror","Following the death of her father, a young girl visits her estranged family at their sinister castle in the countryside, and comes to realize her eccentric and morbid relatives are not quite alive."
P,6.0,RJ Balaji,Santhana Bharathi,Sai Pallavi,"Drama, Horror","Horror following a group of medical students who come across the body of the world's most notorious vampire, Dracula (Stephen Billington). When a mysterious stranger appears and offers the ..."
Diya,6.1,Seung-ryong Ryu,Franciska Friede,Joon Lee,"Drama, Horror, Thriller",»
Seoul Station,5.6,Karen Black,Yvonne De Carlo,William Sanderson,"Animation, Horror",Aquatic creatures threaten the existence of a mysterious island.
Mirror Mirror,4.8,Jennifer Grey,Craig Sheffer,Daniel Lapaine,"Horror, Thriller","A murderer known as ""The Breather"" kills off high schoolers."
Ritual,5.3,Robert Gwilym,Hon Ping Tang,Alexander Mercury,Horror,"Whilst growing up in rural Thailand, a young orphan girl is taught the ways of magic by her grandmother. But when grandmother falls sick, Dau is lured to Bangkok to find work so that she ..."
Frankenstein's Army,6.0,Joe Alaskey,Ken Foree,Sheri Moon Zombie,Horror,»
The Haunted World of El Superbeasto,6.0,Jeremy Gillespie,Matthew Kennedy,Steven Kostanski,"Animation, Action, Comedy",Karu is a Tamil drama starring Sai Pallavi and Naga Shourya and directed by A. L. Vijay.
Father's Day,7.6,Julian West,Maurice Schutz,Rena Mandel,"Action, Comedy, Horror",Several groups of people try to survive a zombie pandemic that unleashes itself in downtown Seoul.
Vampyr,5.8,Michael Carreras,Andrew Keir,Valerie Leon,"Fantasy, Horror","A teenage girl begins receiving black magic power through an antique mirror that drips blood, not realizing the mirror is controlled by demonic forces."
Blood from the Mummy's Tomb,7.4,Tatsuya Nakadai,Katsuyuki Itô,Aiko Nagayama,Horror,Dr. Alice Dodgson gets her medical license revoked after the death of a patient. She's facing the possibility of not getting any job when she accepts to be the nurse for one young man who ...
The Kill Order: Maze Runner,4.6,Emily Bader,Darren Mann,Michelle Randolph,"Action, Adventure, Horror",»
Belladonna of Sadness,4.5,Karine Gambier,Howard Vernon,Susan Hemingway,"Animation, Drama, Fantasy","Toward the end of World War II, Russian soldiers pushing into eastern Germany stumble across a secret Nazi lab, one that has unearthed and begun experimenting with the journal of one Dr. ..."
House of the Witch,5.1,Nicki Aycox,Nick Zano,Laura Jordan,Horror,»
Tropical Inferno,9.2,Daniel Fine,Joe Sims,William Vanderpuye,"Action, Crime, Drama","A washed-up luchador and a super-spy investigate Nazi zombies, a nefarious scientist, and a stripper with a Satanic birthmark."
Joy Ride 2: Dead Ahead,5.2,Jonathan Jackson,David Arquette,Barbara Hershey,"Crime, Horror, Romance","A murderer, a priest, and a delinquent try to bring down a father-killing madman."
Bloodborne,5.1,Robert Behling,Jane Lyle,Jessica Dublin,"Action, Adventure, Fantasy",A drifter obsessed with the supernatural stumbles upon an inn where a severely ill adolescent girl is slowly becoming a vampire.
Riding the Bullet,3.5,Tim Ogletree,Joey Oglesby,Troy Ogletree,"Horror, Thriller",An archaeological expedition brings back to London the coffin of an Egyptian queen known for her magical powers. Her spirit returns in the form of a young girl and strange things start to happen.
Island of Death,3.8,Daniel Zovatto,Bonnie Dennison,Chris Conroy,Horror,"Based on the upon novel by James Dashner the movie takes place thirteen years before the events of The Maze Runner, when the solar flares transformed the world into a scorch."
The Walking Deceased,5.3,Robert Olsen,Connor Paolo,Nick Damici,"Comedy, Horror","An evil feudal lord rapes a village girl on her wedding night and proceeds to ruin her and her husband's lives. After she's eventually banished from her village, the girl makes a pact with the devil to gain magical ability and take revenge."
Beneath,5.2,Malcolm McDowell,Jaime King,Donal Logue,"Horror, Thriller","A group of high-school kids set out to play a Halloween prank at an abandoned house, but once they enter they become victims of a demonic witch who has set her wrath upon them."
The Stakelander,4.3,Leo Fafard,Yannick Bisson,Amy Matysio,"Action, Horror",Somewhere in the jungles of South America mercenaries stop a truck which has allegedly loaded fruit. The cargo turns out to be six young women. Apprehended and handed over to the custody of the local women's prison.
Silent Night,5.7,Aden Young,Camille Sullivan,Julia Sarah Stone,"Comedy, Horror, Mystery","After their car breaks down in the desert, four friends try to find their way back to civilization while trying to escape Rusty Nail's bloody wrath."
Another WolfCop,5.9,Michael Sarrazin,Gayle Hunnicutt,Eleanor Parker,"Comedy, Horror","Bloodborne takes place in Yharnam - an eerie, Gothic, and ruined city which is rumored to house a mysterious remedy that cures the various afflictions of the townsfolk and travelers who ..."
The Unseen,3.3,Eric Roberts,Kerem Bürsin,Sara Malakul Lane,"Action, Horror, Sci-Fi",»
Eye of the Cat,6.0,Gregory Harrison,Arkie Whiteley,Bill Kerr,Horror,"When a man finds out his mother is dying and tries to hitchike his way to the hospital, he is picked up by a stranger with a deadly secret."
The Covenant,3.2,Monica Engesser,Owen Conway,Clint James,Horror,"After the tragic deaths of her husband and daughter, Sarah Doyle moves back to her childhood home with her estranged brother, Richard. It's not long before Sarah begins to experience ..."
Strippers vs Werewolves,3.1,Adele Silva,Martin Compston,Billy Murray,"Action, Comedy, Crime",»
Knights of the Damned,2.5,Ross O'Hennessy,Ben Loyd-Holmes,Silvio Simac,"Action, Fantasy, Horror","When werewolf chief Jack Ferris is accidentally killed in a strip club, the girls who work there have until the next full moon before his bloodthirsty wolfpack seek murderous retribution."
Mausoleum,4.7,Marjoe Gortner,Bobbie Bresee,Norman Burton,Horror,"The King has sent his best Knights to defeat the Dragon besieging his castle. Along their epic adventure they encounter malicious sirens, warrior women on a mission of revenge and an unstoppable army of the undead. Can they survive?"
Flay,3.4,Violett Beane,A. Michael Baldwin,Elle LaMont,"Drama, Fantasy, Horror","Traumatized by her mother's death, young Susan is becoming possessed by the same demon that possessed her mother before she died. More and more her husband and psychiatrist are noticing the..."
Hollow Man II,4.4,Christian Slater,Peter Facinelli,Laura Regan,"Action, Horror, Sci-Fi",»
The Day,5.2,Shawn Ashmore,Brianna Barnes,Ashley Bell,"Action, Drama, Horror","After the death of her mother, an estranged daughter struggles to save her brother, and those around her from a malevolent faceless spirit."
Suicide Club,6.6,Ryo Ishibashi,Masatoshi Nagase,Mai Hosho,"Crime, Drama, Horror",A Seattle detective and a biologist are on the run from a dangerous invisible assassin gone rogue.
The Boneyard,5.5,Ed Nelson,Deborah Rose,Norman Fell,"Fantasy, Horror","A group of five people working to stay alive in a post-apocalyptic future discover what they think is a safe, abandoned farmhouse, but they soon find themselves fighting to stay alive as a gang of bloodthirsty predators attack."
The Possession of Michael King,5.7,Shane Johnson,Ella Anderson,Cara Pifko,Horror,A detective is trying to find the cause of a string of suicides.
The Trap,8.0,Al Pacino,Benicio Del Toro,Robert Pattinson,"Crime, Horror, Thriller","Children turned into zombies wreak havoc in a coroner's building with just a burned-out psychic, an experienced cop and two coroners to stop the madness."
The Shining,6.3,Cornel Wilde,Jennifer Salt,Grayson Hall,Horror,"After poor advice from a psychic leads to the death of his wife, a man vows to disprove the existence of the paranormal by allowing himself to be possessed by demons."
Gargoyles,2.8,David Hasselhoff,Crystal Allen,Ryan McCluskey,Horror,An ex-con is out for revenge against a gangster rapper and former friend who let him take the fall for a robbery they committed 14 years earlier.
Anaconda: The Offspring,6.7,Vincent Price,Peter Lorre,Boris Karloff,"Action, Adventure, Horror",Backwards and forwards film
The Raven,6.1,Robert Sean Leonard,Evan Mirand,LeeAnne Locken,"Comedy, Fantasy, Horror","An anthropologist/paleontologist and his daughter, while traveling through the southwestern US, stumble upon a colony of living, breathing gargoyles."
My Best Friend Is a Vampire,3.7,Tom Sizemore,Rick Ravanello,Adrienne LaValley,"Comedy, Horror, Romance",A mercenary-for-hire accepts a mission from a billionaire to capture a dangerous snake that could possibly help cure a terminal illness.
Dark Haul,5.6,Fred Lass,Malone Thomas,Mitch Hyman,Horror,"A magician, who has been turned into a raven, turns to a former sorcerer for help."
Bubba the Redneck Werewolf,5.7,Gary Oldman,Virginie Ledoyen,Paddy Considine,"Comedy, Horror","After a sexual encounter with a beautiful client, a teenage delivery boy finds himself being turned into a vampire."
The Backwoods,5.6,Benjamin Engell,Troels Lyby,Mille Dinesen,"Drama, Horror, Thriller","The meaning of cryptic prophesy splits apart a team of secretive guardians as they transport by 18-wheeler truck, a deadly creature and it's half-human sister from an ineffectual holding ..."
What We Become,4.6,Stephen Lang,Kevin Chapman,Kelly Blatz,"Horror, Thriller",»
Exeter,5.9,Lisa Blount,Leonard Mann,Willie Aames,"Horror, Mystery, Thriller","Cracker County is under attack and lovesick dog catcher Bubba Blanche has been transformed into a ferocious, cigar smoking Werewolf in order to save the day. But first he's got to conquer a beer or two. And maybe a plate of chicken wings."
Cut and Run,7.9,Lon Chaney,Norman Kerry,Joan Crawford,"Adventure, Horror, Thriller",An English couple's holiday in Spain is interrupted when they discover a girl imprisoned in a cabin.
The Unknown,5.8,Ray Wise,Adam Green,Will Barratt,"Drama, Horror, Romance",A family of four is quarantined in their home as a virulent strand of the flu spreads into town and they are forced to the extreme to escape alive.
The Blob,3.8,Bob Morley,Sophie Lowe,Georgina Haig,"Horror, Sci-Fi",A group of teenagers accidentally release an evil spirit that starts to possess them one by one.
Digging Up the Marrow,5.1,Victoria Carreras,Gastón Cocchiarale,Agustin Daulte,"Biography, Drama, Fantasy",A reporter and her cameraman connect a surviving Jonestown leader and a TV exec's missing son to a drug war where jungle installations are being massacred by an army of natives and a skilled white assassin.
Road Kill,7.0,Ellen Connell,Warren Graff,Kenn Navarro,"Horror, Thriller",A criminal on the run hides in a circus and seeks to possess the daughter of the ringmaster at any cost.
Luciferina,7.0,Shôta Sometani,Eri Fukatsu,Ai Hashimoto,"Horror, Mystery",A strange life form used for government weapons testing consumes everything in its path as it grows bigger and bigger.
Happy Tree Friends,4.0,Joan Collins,Robert Lansing,John David Carson,"Animation, Horror",A documentary exploring genre based monster art takes an odd turn when the filmmakers are contacted by a man who claims he can prove that monsters are indeed real.
Parasyte: Part 1,6.0,Elena Kampouris,Kiana Madeira,Leah Gibson,"Action, Drama, Horror",A supernatural thriller about a group of teenagers menaced by a driver-less train in the Australian outback.
Empire of the Ants,3.7,Mark Duplass,Ross Partridge,Steve Zissis,"Adventure, Horror, Sci-Fi","Natalia is a nineteen-year-old novice who reluctantly returns home to say goodbye to her dying father. However, when she meets up with her sister and her friends, she decides instead to travel the jungle in search of mystical plant."
Sacred Lies,5.0,Zenza Raggi,Frank Oliver,Janette Weller,"Drama, Horror",A series of horrible sudden deaths keep happening to a group of creatures caused by themselves doing the most stupid things.
Baghead,7.4,Allison Hayes,William Hudson,Yvette Vickers,"Comedy, Drama, Horror","The humanity is suffering from murders all over the globe, called ""Mincemeat murders"". High school student, Izumi Shinichi has a parasite living off him, having replaced his right hand, and he might be the discoverer of truth."
The Angels' Melancholia,6.0,Ray Milland,Ruth Hussey,Donald Crisp,"Drama, Fantasy, Horror",A con artist tries to sell bogus real estate deals in an area overrun by giant ants.
Attack of the 50 Foot Woman,6.3,Kun Chen,Angelababy,Qi Shu,"Horror, Sci-Fi",A teenager with no hands is suspected of knowing who killed her cult's leader and lands in juvenile detention.
The Uninvited,5.2,Michael Berryman,Creep Creepersin,Victoria De Mare,"Fantasy, Horror, Mystery","Four struggling actors retreat to a cabin in Big Bear, California in order to write a screenplay that will make them all stars. Problem is: What happens when their story idea -- a horror ..."
Mojin - The Lost Legend,6.3,AJ Bowen,Amy Seimetz,Joe Swanberg,"Action, Adventure, Drama",»
Hell's Kitty,7.8,Robert John Burke,Chelsea Field,Zakes Mokae,"Comedy, Horror","Two friends meet again to share their last days in an old house where everything happened a long time ago. They gather a group of people, which results in a disastrous turn of events, during which reveals the deepest human depths."
A Horrible Way to Die,6.6,Anna Calder-Marshall,Christopher Cazenove,Peter Cushing,"Drama, Horror, Thriller","When an abused socialite grows to giant size because of an alien encounter and an aborted murder attempt, she goes after her cheating husband with revenge on her mind."
Dust Devil,5.3,Peter Fonda,Warren Oates,Loretta Swit,"Horror, Mystery, Thriller",A composer and his sister discover that the reason they are able to purchase a beautiful gothic seacoast mansion very cheaply is the house's unsavory past.
Hammer House of Horror,2.9,Daisy Keeping,David Brandon,Joy Tanner,Horror,"In 1988, the three Mojin(tomb raider), Hu Bayi, Wang Kaixuan, and Shirley Yang, retires and relocates to New York. While Bayi and Shirley have become romantically involved and Kaixuan feels..."
Race with the Devil,5.1,Tony Todd,Steven Luke,Raina Hein,"Action, Horror, Thriller",»
Neverlake,5.4,Matt Mercer,Marianna Palka,Morgan Peter Brown,"Drama, Horror, Mystery","Hell's Kitty is a comedy horror series based on the true life events of Nick, a Hollywood writer, and Angel, his possessed and very possessive pussycat."
Zombies,5.4,Linnea Quigley,Brinke Stevens,Michelle Bauer,"Action, Horror","An escaped murderer is in pursuit of his ex-girlfriend, who has fled to start a new life in a small town."
Contracted: Phase II,6.5,Shaun Evans,Scott Mechlowicz,Yvonne Strahovski,"Drama, Horror, Thriller",A woman on the run from her abusive husband encounters a mysterious hitch-hiker.
Nightmare Sisters,5.1,Claude Legault,Rémy Girard,Martin Dubreuil,"Comedy, Fantasy, Horror","This British anthology series, which was produced by England's leading exporters of horror films, told tales of haunted houses, demons, ghosts, and other supernatural wonders."
Gone,5.9,Thomas Doran,Brendan Faulkner,Felix Ward,"Drama, Horror, Thriller",Two couples vacationing together in an R.V. from Texas to Colorado are terrorized after they witness a murder during a Satanic ritual.
7 Days,5.2,Antonio Margheriti,Joe Dallesandro,Udo Kier,"Crime, Drama, Horror","On a trip home to Italy to visit her father, Jenny is thrown into a world of mystery, horror and legend as she is compelled to discover the truth behind all his secrets and lies."
Puppet Master: Axis Termination,4.6,George Appleby,Tonya Kay,Kevin Scott Allen,"Fantasy, Horror, Sci-Fi","In PUPPET MASTER XI - AXIS TERMINATION, the final chapter of the AXIS Saga, we find our heroic band of lethal puppets-BLADE, PINHEAD, TUNNELER, JESTER, SIX SHOOTER, and LEECH WOMAN, joining..."
Seeds,6.6,Trevor Long,Andrea Chen,Garr Long,"Horror, Thriller",»
Yakuza Apocalypse,5.5,Yayan Ruhian,Mio Yûki,Lily Franky,"Action, Comedy, Horror","When his increasingly depraved behavior spirals out of control, Marcus retreats to his family home along the New England coast. But instead of finding solace, Marcus is haunted by his darkest fears and deepest desires."
Alien Abduction,4.9,Katherine Sigismund,Corey Eid,Riley Polanski,"Horror, Sci-Fi, Thriller","In the ruthless underground world of the yakuza, no one is more legendary than boss Kamiura. Rumored to be invincible, the truth is he is a vampire-a bloodsucking yakuza vampire boss! Among..."
Lake Placid vs. Anaconda,3.3,Corin Nemec,Yancy Butler,Skye Lourie,"Action, Horror, Sci-Fi",»
Sequence Break,4.4,John Dinan,Lyle Kanouse,Fabianne Therese,"Horror, Romance, Sci-Fi",A vacationing family encounters an alien threat in this thriller based on the real-life Brown Mountain Lights phenomenon in North Carolina.
Demons 2,6.0,David Edwin Knight,Nancy Brilli,Coralina Cataldi-Tassoni,Horror,A giant crocodile goes head to head with a giant anaconda. The town Sheriff must find a way to destroy the two monsters before they kill the whole town.
976-EVIL,5.1,Stephen Geoffreys,Patrick O'Bryan,Sandy Dennis,"Comedy, Horror","A surreal sci-fi romance wherein a beautiful young woman and strange metaphysical forces threaten the reality of a reclusive video arcade technician, resulting in bizarre biomechanical mutations and a shocking self-realization."
The Promise,6.1,Numthip Jongrachatawiboon,Apichaya Thongkham,Thunyaphat Pattarateerachaicharoen,"Drama, Horror, Thriller",A group of tenants and visitors are trapped in a 10-story high-rise apartment building infested with demons who proceed to hunt the dwindling humans down.
StageFright,6.8,David Brandon,Barbara Cupisti,Domenico Fiore,"Horror, Thriller",People who dial 976-EVIL receive supernatural powers and turn into satanic killers.
Martin,7.2,John Amplas,Lincoln Maazel,Christine Forrest,"Drama, Horror","Ib and Boum decide to commit suicide together in Bangkok in 1997. After reneging on the promise, the vengeful ghost of Ib returns 20 years later to haunt Boum and her 15 year old daughter, Bell."
Resident Evil 4,9.3,Shinji Mikami,Paul Mercier,Carolyn Lawrence,"Action, Adventure, Crime","A group of stage actors lock themselves in the theater for a rehearsal of their upcoming musical production, unaware that an escaped psychopath has sneaked into the theater with them."
